,Index1,Index2,Interaction Strength
176,1388.0,10085.0,1.6993183
177,770.0,24095.0,1.6992965
178,1235.0,14227.0,1.6992878
179,20497.0,24095.0,1.6992811
180,823.0,9066.0,1.6992629
181,16660.0,24146.0,1.6992525
182,8614.0,23329.0,1.6992465
183,8467.0,17761.0,1.6991736
184,8560.0,13371.0,1.6991695
185,5406.0,25215.0,1.6991422
186,16738.0,23022.0,1.6991242
187,2829.0,6171.0,1.699098
188,16625.0,27395.0,1.6990769
189,14127.0,21793.0,1.6990724
190,16884.0,25972.0,1.699072
191,10384.0,17532.0,1.6990572
192,338.0,15556.0,1.6990509
193,8366.0,15556.0,1.6990415
194,15638.0,20282.0,1.6990365
195,13489.0,25215.0,1.699011
196,2299.0,25972.0,1.6989932
197,8161.0,21407.0,1.6989689
198,17381.0,17663.0,1.698943
199,17288.0,25215.0,1.6989398
200,18283.0,23042.0,1.6989338
201,12385.0,25372.0,1.6988521
202,3234.0,18805.0,1.6988455
203,17804.0,25972.0,1.6988325
204,24984.0,27687.0,1.6988195
205,9241.0,16798.0,1.6988113
206,6925.0,26248.0,1.6988106
207,5425.0,25972.0,1.6987995
208,4295.0,25215.0,1.6987858
209,15886.0,24924.0,1.6987722
210,10289.0,19272.0,1.6987675
211,10033.0,12099.0,1.6987427
212,12385.0,14246.0,1.6987122
213,11543.0,12385.0,1.698703
214,10470.0,13371.0,1.6986552
215,482.0,15909.0,1.6986147
216,8614.0,15587.0,1.6986105
217,2829.0,23648.0,1.6985804
218,21335.0,23563.0,1.698565
219,361.0,6410.0,1.6985648
220,3316.0,17381.0,1.6985378
221,9257.0,10262.0,1.6985258
222,7134.0,8405.0,1.6984923
223,17317.0,22749.0,1.6984243
224,3429.0,23808.0,1.6984061
225,22288.0,26838.0,1.698383
226,22859.0,23901.0,1.6983778
227,4633.0,22288.0,1.698376
228,15886.0,16798.0,1.6983715
229,8558.0,25775.0,1.6983641
230,13938.0,27875.0,1.6983373
231,20956.0,27260.0,1.6983175
232,7714.0,21335.0,1.6983052
233,13203.0,15886.0,1.6983026
234,3116.0,5462.0,1.6982521
235,15703.0,17317.0,1.6982069
