,Index1,Index2,Interaction Strength
156,12692.0,15880.0,858.58014
157,6252.0,16170.0,858.07477
158,16170.0,25025.0,856.7293
159,5722.0,16170.0,854.7591
160,16170.0,26607.0,854.1618
161,9335.0,16170.0,853.73267
162,11989.0,15880.0,852.9565
163,3581.0,12005.0,852.51495
164,3581.0,19890.0,848.4217
165,3581.0,13704.0,848.3647
166,6673.0,16766.0,847.24176
167,14085.0,15195.0,846.7207
168,3581.0,22584.0,846.1957
169,15880.0,21865.0,844.9856
170,1680.0,3581.0,844.59106
171,11631.0,16170.0,843.1245
172,9953.0,16170.0,842.7875
173,14603.0,15880.0,842.29266
174,11910.0,16170.0,841.36835
175,1486.0,16170.0,840.995
176,15880.0,21012.0,840.76044
177,16170.0,18208.0,840.7089
178,2067.0,16170.0,840.1514
179,16170.0,18855.0,839.971
180,15880.0,17364.0,839.4941
181,9768.0,16170.0,838.9969
182,3129.0,16170.0,837.7304
183,9966.0,16170.0,837.3831
184,16170.0,26371.0,836.25934
185,12109.0,16170.0,835.9688
186,3581.0,27305.0,835.77673
187,3581.0,21392.0,835.40393
188,8212.0,16170.0,834.17487
189,15880.0,20799.0,833.25183
190,3517.0,3581.0,831.8365
191,16170.0,18530.0,831.6281
192,16170.0,19661.0,830.0545
193,16170.0,26962.0,828.6523
194,15880.0,20986.0,825.9124
195,13400.0,27305.0,825.1876
196,16170.0,17811.0,824.95557
197,16170.0,16581.0,823.1394
198,3581.0,17951.0,822.6564
199,3581.0,13251.0,822.6512
200,16170.0,18622.0,821.7413
201,13435.0,16170.0,817.93475
202,5688.0,15880.0,816.75195
203,3581.0,24394.0,816.67926
204,16170.0,24970.0,816.6619
205,1718.0,15880.0,816.61884
206,15880.0,18902.0,816.56445
207,8910.0,16170.0,815.7621
208,16170.0,24714.0,815.7117
209,12448.0,16170.0,815.5989
210,16170.0,19671.0,815.5664
211,3581.0,9070.0,814.50555
212,16170.0,19946.0,813.86566
213,6882.0,15880.0,813.7197
214,14180.0,16170.0,813.42865
215,11896.0,19992.0,812.55133
216,16170.0,18551.0,812.46796
217,3581.0,25359.0,811.8247
218,15880.0,19257.0,811.5356
219,11989.0,16170.0,811.22107
220,16170.0,26147.0,810.8772
221,16170.0,20088.0,810.3234
222,13088.0,15880.0,809.5802
